"id","SehirIlceMahalleAdi","UstID","minlongitude","minlatitude","maxlongitude","maxlatitude","MahalleID"
29434,MOLLAAHMET (GÖYNÜKLER),1553,34.063538,41.964461,34.075645,41.972051,
29435,NADAR (YEŞİLYUVA),1553,34.074147,41.967845,34.081224,41.976082,
29436,OLUKYANI (YEŞİLYUVA),1553,34.066098,41.968772,34.075968,41.977117,
29437,RECEP (GÖYNÜKLER),1553,34.069830,41.954828,34.076643,41.964885,
29438,YAKABAŞI(YAYLAS) (YAKABAŞI),1553,34.084875,41.963265,34.096360,41.969972,
29439,YEŞİLYUVA (YEŞİLYUVA),1553,34.061812,41.975553,34.076248,41.979636,
29440,AKSÖĞÜT (ÇUKURPELİT),1554,33.446042,41.261442,33.463354,41.272264,
29441,ALAN (GÜZLÜK),1554,33.367091,41.041556,33.386764,41.058921,
29442,ALİ GADO (KIYIDİBİ),1554,33.130184,41.153051,33.134444,41.155401,
29443,ALİBEY (ÇALKÖY),1554,33.264244,41.266592,33.308189,41.294104,
29444,APDUDOĞU (AVLAĞIÇAYIRI),1554,33.463898,41.281264,33.475539,41.288469,
29445,AŞAĞI (ÇAYKAŞI),1554,33.042383,41.121938,33.069826,41.136598,
29446,AŞAĞI (GÖKÇESU),1554,33.176361,41.183329,33.179998,41.186337,
29447,AŞAĞI (KAVACIK),1554,33.319249,41.299512,33.357650,41.325041,
29448,AŞAĞI (KAVAK),1554,33.277354,41.075270,33.284058,41.079198,
29449,AŞAĞI (KÖKLÜDERE),1554,33.312736,40.980967,33.355608,41.010637,
29450,AŞAĞI DİPHAN (HURUÇÖREN),1554,33.393824,41.265646,33.426526,41.292383,
29451,AŞAĞI ÖREN (YUKARIILIPINAR),1554,33.183626,41.338488,33.188417,41.342168,
29452,AŞAĞI SİNDİRE (DEREÇATI),1554,33.325983,41.206445,33.341537,41.219019,
29453,AŞAĞIÖREN (AVLAĞIÇAYIRI),1554,33.463354,41.261916,33.476441,41.281421,
29454,BAHÇECİK (İHSANLI),1554,32.924942,41.217617,32.971315,41.233147,
29455,BARITCI (ŞEHRİMANLAR),1554,33.074449,41.158903,33.095186,41.181785,
29456,BERBER (ALINÖREN),1554,33.435143,41.216686,33.460139,41.224882,
29457,BOSTAN (KÖSE),1554,33.155837,41.202068,33.182917,41.222956,
29458,BÜRÜMCEK (ÇUKURPELİT),1554,33.462514,41.255944,33.476441,41.272264,
29459,ÇAKILLAR (EKİNÖZÜ),1554,33.222806,41.191848,33.242655,41.204990,
29460,ÇAKIRIN (AVLACIK),1554,33.258574,41.355347,33.301514,41.373326,
29461,ÇALCA (ALINÖREN),1554,33.459451,41.250056,33.471740,41.261442,
29462,ÇALIK (KARCILAR),1554,33.129954,41.163859,33.132797,41.165736,
29463,CANLAR (YUKARIILIPINAR),1554,33.171828,41.352631,33.177720,41.355950,
29464,ÇAVUŞ (AVLACIK),1554,33.278758,41.354345,33.320113,41.375842,
29465,ÇAY,1554,33.313485,41.169124,33.366198,41.242442,
29466,ÇİFTÇİ (ALINÖREN),1554,33.430483,41.224037,33.466436,41.232512,
29467,ÇORAKDERE (SAMATLAR),1554,33.111591,41.217597,33.126869,41.228765,
29468,ÇORUM (SERDAR),1554,33.492797,41.304443,33.526133,41.327959,
29469,ÇUKURTARLA (YUKARIILIPINAR),1554,33.154153,41.378931,33.156765,41.380369,
29470,DAYIOĞLU (ESKİİĞDİR),1554,33.042786,41.179632,33.050138,41.209807,
29471,DEDECÜK (YUKARIILIPINAR),1554,33.205772,41.364915,33.208208,41.366552,
